,Coeff
AdultWeekday,20.045299433835567
cluster,1.9551596337590746
vertical_drop,1.6990523761955076
triple,1.3544742999582975
Runs,1.3432099603024379
quad,1.2727434718445285
surface,1.2349670977742442
averageSnowfall,1.1325444155063995
daysOpenLastYear,1.096157796416131
fastQuads,0.6842601653723683
total_chairs,0.5881776566501307
Snow Making_ac,0.4736213737655608
projectedDaysOpen,0.4226933551986136
NightSkiing_ac,0.4207822960278158
fastSixes,0.35957999813675356
yearsOpen,0.2904125751513865
double,0.27248864167768555
trams,0.2578851168704883
LongestRun_mi,0.25737219164165004
SkiableTerrain_ac,0.05735786984003932
TerrainParks,0.04437878216175328
fastEight,0.04192901805172139
